      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
          0 |        100 | Rdr |26'                                                                      |     | REQA
        180 |        280 | Tag |04  00                                                                    |     |
        400 |        520 | Rdr |93  70  04  11  22  33  44  E1  23                                      |  ok | SELECT_UID
        620 |        720 | Tag |20  FC  70                                                               |  ok |
        800 |        950 | Rdr |02  00  A4  04  00  00  00  CA  FE                                      |  ok |
       1040 |       1180 | Tag |02  90  00  CA  FE                                                       |  ok |
       1280 |       1420 | Rdr |03  00  84  00  00  08  CA  FE                                          |  ok |
       1520 |       1700 | Tag |03  10  20  30  40  50  60  70  80  CA  FE                              |  ok |
       1800 |       1980 | Rdr |02  00  82  00  00  08  AA  BB  CC  DD  EE  FF  01  02  CA  FE          |  ok |
       2080 |       2220 | Tag |02  90  00  CA  FE                                                       |  ok |
